timestamp,method,cx,cy,area,sim_enabled,action
1768266530.6686976,motion,599,622,1489114.00,False,
1768266530.791698,motion,578,201,1777.00,False,
1768266530.8432443,motion,722,78,1777.00,False,
1768266530.9011903,motion,763,42,1777.00,False,
1768266530.95697,motion,810,66,1777.00,False,
1768266531.006233,motion,851,102,1777.00,False,
1768266531.0607398,motion,893,138,1777.00,False,
1768266531.1120799,motion,930,169,1777.00,False,
1768266531.165215,motion,967,201,1777.00,False,
1768266531.2236142,motion,1014,241,1777.00,False,
1768266531.2804968,motion,1060,281,1777.00,False,
1768266531.33912,motion,1106,321,1777.00,False,
1768266531.402,motion,1151,360,1671.00,False,
1768266531.4671946,motion,1158,396,1087.00,False,
1768266531.5225625,motion,1116,440,1777.00,False,
1768266531.5810187,motion,1069,480,1777.00,False,
1768266531.642892,motion,1023,519,1777.00,False,
1768266531.7041237,motion,977,559,1777.00,False,
1768266531.7691548,motion,926,603,1777.00,False,
1768266531.83482,motion,875,647,1777.00,False,
1768266531.9014523,motion,824,690,1777.00,False,
1768266531.972056,motion,773,734,1777.00,False,
1768266533.3967006,motion,416,754,1777.00,False,
1768266533.4473808,motion,453,722,1777.00,False,
1768266533.5036335,motion,490,690,1777.00,False,
1768266533.558921,motion,532,655,1777.00,False,
1768266533.615064,motion,573,619,1777.00,False,
1768266533.6702168,motion,615,583,1777.00,False,
1768266533.7230752,motion,657,547,1777.00,False,
1768266533.7751956,motion,694,515,1777.00,False,
1768266533.8287566,motion,731,484,1777.00,False,
1768266533.8809555,motion,768,452,1777.00,False,
1768266533.9351592,motion,805,420,1777.00,False,
1768266533.9894423,motion,842,388,1777.00,False,
1768266534.0429018,motion,884,352,1777.00,False,
1768266534.095045,motion,916,324,1777.00,False,
1768266534.149974,motion,963,285,1777.00,False,
1768266534.201875,motion,995,257,1777.00,False,
1768266534.253301,motion,1032,225,1777.00,False,
1768266534.3064046,motion,1069,193,1777.00,False,
1768266534.3569002,motion,1111,157,1777.00,False,
1768266534.410219,motion,1143,130,1777.00,False,
1768266534.465896,motion,1176,94,1777.00,False,
1768266534.518823,motion,1139,62,1777.00,False,
1768266534.5695517,motion,1097,42,1777.00,False,
1768266534.6209772,motion,1060,74,1777.00,False,
1768266534.6672373,motion,1028,102,1777.00,False,
1768266534.7172544,motion,995,130,1777.00,False,
1768266534.7704098,motion,963,157,1777.00,False,
1768266534.8251207,motion,921,193,1777.00,False,
1768266534.8772836,motion,884,225,1777.00,False,
1768266534.9299684,motion,847,257,1777.00,False,
1768266534.9812891,motion,810,289,1777.00,False,
1768266535.0349584,motion,768,324,1777.00,False,
1768266535.090867,motion,731,356,1777.00,False,
1768266535.1418364,motion,694,388,1777.00,False,
1768266535.1995368,motion,657,420,1777.00,False,
1768266535.2603047,motion,615,456,1777.00,False,
1768266535.3140323,motion,573,492,1777.00,False,
1768266535.373306,motion,536,523,1777.00,False,
1768266535.4286878,motion,490,563,1777.00,False,
1768266535.4862392,motion,453,595,1777.00,False,
1768266535.5461998,motion,411,631,1777.00,False,
1768266535.6030045,motion,369,666,1777.00,False,
1768266535.6583579,motion,332,698,1777.00,False,
1768266535.7121649,motion,291,734,1777.00,False,
1768266535.7738721,motion,254,766,1777.00,False,
1768266535.8341966,motion,207,806,1777.00,False,
1768266535.8922782,motion,165,841,1777.00,False,
1768266536.0004208,motion,91,905,1777.00,False,
1768266536.0657785,motion,40,949,1777.00,False,
1768266536.1327174,motion,68,997,1777.00,False,
1768266536.1901865,motion,114,1036,1536.00,False,
1768266536.2491777,motion,156,1076,1348.00,False,
1768266536.3109796,motion,198,1108,1702.00,False,
1768266536.3778148,motion,599,622,1489114.00,False,
1768266536.4404263,motion,599,622,1489114.00,False,
1768266536.4997897,motion,599,622,1489114.00,False,
1768266536.5562942,motion,599,622,1489114.00,False,
1768266536.617665,motion,599,622,1489114.00,False,
1768266536.6766841,motion,599,622,1489114.00,False,
1768266536.7362473,motion,599,622,1489114.00,False,
1768266536.7932608,motion,599,622,1489114.00,False,
1768266536.8522859,motion,599,622,1489114.00,False,
1768266536.9138167,motion,599,622,1489114.00,False,
1768266536.970912,motion,599,622,1489114.00,False,
1768266537.0290146,motion,599,622,1489114.00,False,
1768266537.084931,motion,599,622,1489114.00,False,
1768266537.1391246,motion,599,622,1489114.00,False,
1768266537.1972497,motion,599,622,1489114.00,False,
1768266537.25124,motion,599,622,1489114.00,False,
1768266537.3114588,motion,599,622,1489114.00,False,
1768266537.3669982,motion,599,622,1489048.00,False,
1768266537.4233239,motion,599,622,1488859.50,False,
1768266537.4851725,motion,1132,1102,2256.50,False,
1768266537.5393436,motion,1131,1102,2122.00,False,
1768266537.5985518,color,,,0.00,False,
1768266537.6630747,color,,,0.00,False,
1768266537.713149,color,,,0.00,False,
1768266537.7676206,color,,,0.00,False,
1768266537.8193312,color,,,0.00,False,
1768266537.8707657,color,,,0.00,False,
1768266537.9268353,color,,,0.00,False,
1768266537.978539,color,,,0.00,False,
1768266538.033174,color,,,0.00,False,
1768266538.0951042,color,,,0.00,False,
1768266538.1530433,color,,,0.00,False,
1768266538.2133214,color,,,0.00,False,
1768266538.2698426,color,,,0.00,False,
1768266538.330605,color,,,0.00,False,
1768266538.3899982,color,,,0.00,False,
1768266538.450058,color,,,0.00,False,
1768266538.5130692,color,,,0.00,False,
1768266538.574555,color,,,0.00,False,
1768266538.6363294,color,,,0.00,False,
1768266538.695143,color,,,0.00,False,
1768266538.7500668,color,,,0.00,False,
1768266538.8095345,color,,,0.00,False,
1768266538.8651285,color,,,0.00,False,
1768266538.9235017,color,,,0.00,False,
1768266538.984047,color,,,0.00,False,
1768266539.0427318,color,,,0.00,False,
1768266539.1007795,color,,,0.00,False,
1768266539.1662328,color,,,0.00,False,
1768266539.222854,color,,,0.00,False,
1768266539.2777314,color,,,0.00,False,
1768266539.3343446,color,,,0.00,False,
1768266539.393266,color,,,0.00,False,
1768266539.4552505,color,,,0.00,False,
1768266539.5127635,color,,,0.00,False,
1768266539.5695558,color,,,0.00,False,
1768266539.624942,color,,,0.00,False,
1768266539.684112,color,,,0.00,False,
1768266539.7361662,color,,,0.00,False,
1768266539.7873893,color,,,0.00,False,
1768266539.8458958,color,,,0.00,False,
1768266539.9023972,color,,,0.00,False,
1768266539.9533153,color,,,0.00,False,
1768266540.0089335,color,,,0.00,False,
1768266540.0711489,color,,,0.00,False,
1768266540.1297028,color,,,0.00,False,
1768266540.1855354,color,,,0.00,False,
1768266540.2363608,color,,,0.00,False,
1768266540.2968864,color,,,0.00,False,
1768266540.3518164,color,,,0.00,False,
1768266540.4086564,color,,,0.00,False,
1768266540.4649467,color,,,0.00,False,
1768266540.522188,color,,,0.00,False,
1768266540.583289,color,,,0.00,False,
1768266540.6386154,color,,,0.00,False,
1768266540.6976779,color,,,0.00,False,
1768266540.7547693,color,,,0.00,False,
1768266540.8171241,motion,1132,1102,2266.00,False,
1768266540.8774438,motion,599,622,1489114.00,False,
1768266540.9373028,motion,1047,1101,2296.50,False,
1768266541.0015123,motion,254,766,1777.00,False,
1768266541.0586889,motion,833,627,1777.00,False,
1768266541.4833698,motion,504,344,1777.00,False,
1768266541.5506737,motion,462,309,1777.00,False,
1768266541.6100245,motion,416,269,1777.00,False,
1768266541.66743,motion,374,233,1777.00,False,
1768266541.7213488,motion,337,201,1777.00,False,
1768266541.781374,motion,295,165,1777.00,False,
1768266541.8420775,motion,254,130,1777.00,False,
1768266541.9034555,motion,212,94,1777.00,False,
1768266541.9664083,motion,165,54,1777.00,False,
1768266542.0297732,motion,124,50,1777.00,False,
1768266542.0864213,motion,77,90,1777.00,False,
1768266542.141698,motion,40,122,1777.00,False,
1768266542.1948066,motion,50,154,1777.00,False,
1768266542.2505057,motion,87,185,1777.00,False,
1768266542.3096492,motion,128,221,1777.00,False,
1768266542.3670952,motion,175,261,1777.00,False,
1768266542.4216592,motion,212,293,1777.00,False,
1768266542.479892,motion,254,328,1777.00,False,
1768266542.5332308,motion,291,360,1777.00,False,
1768266542.5906973,motion,332,396,1777.00,False,
1768266542.6472862,motion,379,436,1777.00,False,
1768266542.696553,motion,416,468,1777.00,False,
1768266542.7449322,motion,444,492,1777.00,False,
1768266542.7979257,motion,481,523,1777.00,False,
1768266542.8493612,motion,518,555,1777.00,False,
1768266542.8986099,motion,550,583,1777.00,False,
1768266542.9522705,motion,587,615,1777.00,False,
1768266543.0050344,motion,624,647,1777.00,False,
1768266543.056056,motion,661,678,1777.00,False,
1768266543.1023822,motion,694,706,1777.00,False,
1768266543.147449,motion,726,734,1777.00,False,
1768266543.1947703,motion,759,762,1777.00,False,
1768266543.2448812,motion,791,790,1777.00,False,
1768266543.2964747,motion,828,822,1777.00,False,
1768266543.3479688,motion,861,849,1777.00,False,
1768266543.399935,motion,898,881,1777.00,False,
1768266543.4543777,motion,935,913,1777.00,False,
1768266543.5056376,motion,977,949,1777.00,False,
1768266543.560829,motion,1014,981,1777.00,False,
1768266543.6108086,motion,1051,1012,1777.00,False,
1768266543.6627765,motion,1088,1044,1777.00,False,
1768266543.7162707,motion,1125,1072,1510.50,False,
1768266543.769391,motion,1165,1108,1440.00,False,
1768266543.8214886,motion,1162,1140,1777.00,False,
1768266543.8715641,motion,1125,1171,1777.00,False,
1768266543.9220319,motion,1092,1199,1777.00,False,
1768266543.9739668,motion,1055,1226,1445.00,False,
